c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208
1.721903432455134e+18,0.0,0.0,0.0,12.0,33.0,227.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,139.0,81.0,54.0,87.0,47.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,149.0,99.0,44.0,50.0,67.0,0.0,0.0,0.0,0.0,1.0,7.0,138.0,100.0,46.0,25.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,29.0,12.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,250.0,13.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,40.0,44.0,26.0,8.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,25.0,16.0,9.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,150.0,26.0,15.0,15.0,15.0,18.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,131.0,33.0,20.0,35.0,14.0,11.0,7.0,18.0,8.0,7.0,11.0,8.0,19.0,10.0,6.0,14.0,236.0,50.0,10.0,12.0,25.0,13.0,6.0,7.0,17.0,63.0,3.0,3.0,3.0,28.0,14.0,61.0,83.0,92.0,10.0,9.0,4.0,9.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432502853e+18,0.0,0.0,0.0,12.0,33.0,229.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,139.0,81.0,55.0,88.0,48.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,149.0,98.0,44.0,50.0,68.0,0.0,0.0,0.0,0.0,1.0,6.0,136.0,101.0,44.0,25.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,250.0,13.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,35.0,41.0,26.0,8.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,25.0,16.0,10.0,8.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,148.0,25.0,14.0,15.0,15.0,17.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,133.0,32.0,19.0,35.0,14.0,12.0,7.0,19.0,8.0,7.0,11.0,8.0,18.0,10.0,6.0,13.0,232.0,50.0,10.0,12.0,26.0,14.0,6.0,7.0,17.0,65.0,3.0,3.0,3.0,28.0,13.0,59.0,82.0,92.0,10.0,10.0,5.0,9.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432550744e+18,0.0,0.0,0.0,12.0,33.0,228.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,139.0,80.0,55.0,88.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,149.0,98.0,44.0,51.0,68.0,0.0,0.0,0.0,0.0,1.0,7.0,134.0,101.0,46.0,25.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,250.0,13.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,34.0,39.0,24.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,25.0,15.0,9.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,147.0,25.0,14.0,15.0,15.0,17.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,133.0,32.0,20.0,35.0,14.0,12.0,7.0,19.0,8.0,7.0,11.0,8.0,17.0,10.0,6.0,13.0,232.0,50.0,10.0,12.0,26.0,14.0,6.0,8.0,17.0,64.0,3.0,3.0,3.0,29.0,14.0,59.0,81.0,93.0,11.0,9.0,5.0,9.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432598868e+18,0.0,0.0,0.0,12.0,33.0,227.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,139.0,80.0,55.0,88.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,148.0,98.0,44.0,51.0,68.0,0.0,0.0,0.0,0.0,1.0,7.0,133.0,101.0,45.0,26.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,30.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,250.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,36.0,40.0,25.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,25.0,15.0,9.0,7.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,149.0,25.0,14.0,15.0,15.0,17.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,132.0,32.0,19.0,35.0,14.0,12.0,7.0,19.0,8.0,7.0,11.0,8.0,19.0,10.0,6.0,13.0,232.0,50.0,10.0,12.0,27.0,14.0,7.0,8.0,17.0,64.0,3.0,3.0,3.0,28.0,14.0,59.0,81.0,92.0,11.0,9.0,5.0,9.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432646774e+18,0.0,0.0,0.0,12.0,33.0,226.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,139.0,80.0,55.0,88.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,148.0,98.0,44.0,51.0,68.0,0.0,0.0,0.0,0.0,1.0,7.0,133.0,101.0,45.0,25.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,250.0,13.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,35.0,40.0,25.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,25.0,14.0,9.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,149.0,25.0,14.0,15.0,15.0,17.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,132.0,32.0,19.0,35.0,14.0,12.0,7.0,20.0,8.0,7.0,11.0,8.0,19.0,10.0,6.0,13.0,232.0,50.0,10.0,12.0,27.0,14.0,6.0,8.0,17.0,65.0,3.0,2.0,3.0,28.0,13.0,60.0,81.0,92.0,10.0,10.0,5.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432694784e+18,0.0,0.0,0.0,12.0,34.0,226.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,139.0,80.0,55.0,88.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,148.0,98.0,44.0,51.0,68.0,0.0,0.0,0.0,0.0,1.0,7.0,132.0,103.0,44.0,25.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,34.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,250.0,13.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,36.0,38.0,24.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,25.0,14.0,9.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,149.0,25.0,14.0,15.0,15.0,17.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,133.0,31.0,18.0,34.0,14.0,12.0,8.0,20.0,8.0,7.0,12.0,8.0,18.0,10.0,6.0,13.0,232.0,51.0,10.0,12.0,27.0,13.0,6.0,7.0,17.0,65.0,3.0,2.0,3.0,28.0,14.0,60.0,81.0,92.0,10.0,10.0,5.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432742803e+18,0.0,0.0,0.0,12.0,34.0,224.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,140.0,80.0,55.0,87.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,148.0,98.0,43.0,51.0,68.0,0.0,0.0,0.0,0.0,1.0,7.0,132.0,102.0,46.0,26.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,35.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,250.0,13.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,36.0,40.0,25.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,15.0,10.0,8.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,149.0,25.0,14.0,16.0,16.0,18.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,132.0,32.0,18.0,34.0,14.0,12.0,7.0,20.0,7.0,7.0,12.0,9.0,18.0,10.0,6.0,14.0,233.0,51.0,10.0,12.0,27.0,13.0,6.0,8.0,18.0,64.0,3.0,2.0,3.0,28.0,14.0,61.0,82.0,93.0,10.0,10.0,5.0,9.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432790828e+18,0.0,0.0,0.0,13.0,34.0,219.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,140.0,80.0,55.0,87.0,48.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,50.0,149.0,98.0,43.0,51.0,69.0,0.0,0.0,0.0,0.0,1.0,7.0,132.0,103.0,46.0,27.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,36.0,16.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,250.0,13.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,41.0,44.0,27.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,29.0,15.0,9.0,7.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,151.0,26.0,15.0,15.0,17.0,20.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,132.0,33.0,19.0,35.0,15.0,13.0,8.0,23.0,8.0,8.0,13.0,9.0,17.0,9.0,6.0,14.0,234.0,52.0,10.0,11.0,26.0,13.0,6.0,8.0,18.0,63.0,3.0,2.0,3.0,28.0,14.0,63.0,82.0,90.0,11.0,10.0,6.0,10.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432838727e+18,0.0,0.0,0.0,13.0,34.0,215.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,108.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,140.0,79.0,55.0,87.0,48.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,49.0,148.0,98.0,43.0,52.0,69.0,0.0,0.0,0.0,0.0,1.0,7.0,132.0,103.0,47.0,28.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,250.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,46.0,27.0,8.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,30.0,15.0,9.0,8.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,152.0,26.0,14.0,15.0,17.0,21.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,131.0,33.0,19.0,35.0,15.0,13.0,9.0,25.0,8.0,8.0,15.0,11.0,16.0,9.0,6.0,14.0,233.0,54.0,10.0,12.0,27.0,13.0,6.0,9.0,18.0,64.0,3.0,2.0,3.0,28.0,15.0,63.0,82.0,91.0,12.0,10.0,5.0,10.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721903432886926e+18,0.0,0.0,0.0,13.0,34.0,214.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107.0,250.0,46.0,8.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,140.0,79.0,55.0,87.0,48.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,50.0,149.0,98.0,44.0,51.0,69.0,0.0,0.0,0.0,0.0,1.0,7.0,133.0,103.0,47.0,28.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,250.0,13.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,47.0,48.0,28.0,9.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,32.0,15.0,9.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,152.0,27.0,14.0,16.0,17.0,23.0,4.0,6.0,2.0,1.0,2.0,2.0,3.0,131.0,33.0,19.0,36.0,15.0,14.0,10.0,24.0,7.0,9.0,15.0,13.0,17.0,9.0,7.0,14.0,232.0,54.0,10.0,12.0,27.0,13.0,7.0,9.0,19.0,65.0,3.0,2.0,3.0,27.0,15.0,65.0,84.0,92.0,12.0,10.0,5.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
