c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155,c156,c157,c158,c159,c160,c161,c162,c163,c164,c165,c166,c167,c168,c169,c170,c171,c172,c173,c174,c175,c176,c177,c178,c179,c180,c181,c182,c183,c184,c185,c186,c187,c188,c189,c190,c191,c192,c193,c194,c195,c196,c197,c198,c199,c200,c201,c202,c203,c204,c205,c206,c207,c208
1.721905941648057e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,9.0,12.0,5.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,8.0,13.0,51.0,20.0,6.0,12.0,3.0,2.0,4.0,15.0,8.0,0.0,1.0,8.0,14.0,34.0,43.0,39.0,108.0,26.0,14.0,26.0,68.0,78.0,0.0,16.0,1.0,2.0,13.0,21.0,25.0,35.0,40.0,53.0,70.0,99.0,123.0,0.0,35.0,0.0,1.0,4.0,14.0,23.0,30.0,39.0,58.0,76.0,96.0,128.0,0.0,42.0,0.0,0.0,2.0,5.0,7.0,26.0,40.0,59.0,70.0,101.0,129.0,0.0,29.0,0.0,0.0,2.0,5.0,7.0,13.0,13.0,19.0,27.0,46.0,139.0,0.0,78.0,0.0,1.0,3.0,6.0,10.0,20.0,14.0,24.0,49.0,124.0,167.0,0.0,54.0
1.721905941695773e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,8.0,11.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,8.0,12.0,46.0,22.0,6.0,11.0,3.0,2.0,4.0,4.0,9.0,6.0,3.0,7.0,14.0,34.0,45.0,38.0,112.0,27.0,18.0,30.0,30.0,85.0,0.0,30.0,1.0,3.0,13.0,22.0,26.0,37.0,41.0,57.0,73.0,71.0,128.0,0.0,65.0,1.0,1.0,5.0,15.0,24.0,32.0,40.0,58.0,78.0,48.0,130.0,0.0,78.0,0.0,0.0,2.0,4.0,6.0,23.0,31.0,48.0,63.0,38.0,116.0,101.0,50.0,0.0,1.0,3.0,8.0,10.0,17.0,15.0,23.0,29.0,21.0,129.0,0.0,114.0,0.0,1.0,4.0,9.0,18.0,31.0,14.0,28.0,54.0,90.0,170.0,0.0,98.0
1.721905941743851e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,8.0,9.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,8.0,14.0,38.0,25.0,6.0,14.0,3.0,3.0,5.0,11.0,10.0,6.0,3.0,7.0,16.0,37.0,48.0,36.0,118.0,22.0,13.0,21.0,22.0,66.0,38.0,10.0,1.0,2.0,13.0,21.0,24.0,34.0,41.0,53.0,65.0,41.0,101.0,100.0,26.0,1.0,1.0,4.0,20.0,25.0,28.0,36.0,51.0,70.0,41.0,99.0,94.0,51.0,0.0,0.0,2.0,4.0,6.0,21.0,25.0,43.0,62.0,49.0,104.0,86.0,45.0,0.0,0.0,1.0,4.0,5.0,10.0,7.0,11.0,19.0,18.0,104.0,116.0,47.0,0.0,0.0,3.0,8.0,14.0,26.0,9.0,18.0,43.0,55.0,141.0,137.0,42.0
1.721905941791756e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,8.0,8.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,14.0,33.0,22.0,7.0,15.0,3.0,4.0,6.0,13.0,10.0,6.0,6.0,7.0,16.0,38.0,50.0,34.0,118.0,18.0,12.0,19.0,20.0,61.0,30.0,29.0,1.0,2.0,12.0,19.0,21.0,30.0,39.0,51.0,60.0,40.0,88.0,84.0,72.0,0.0,1.0,3.0,19.0,22.0,24.0,34.0,46.0,64.0,42.0,90.0,86.0,83.0,0.0,0.0,1.0,4.0,5.0,20.0,23.0,42.0,65.0,47.0,95.0,84.0,68.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,8.0,8.0,89.0,98.0,152.0,0.0,0.0,1.0,5.0,8.0,13.0,4.0,9.0,34.0,54.0,121.0,117.0,121.0
1.721905941839836e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,5.0,7.0,5.0,2.0,5.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,10.0,21.0,11.0,5.0,13.0,2.0,3.0,5.0,16.0,9.0,6.0,5.0,6.0,17.0,36.0,50.0,33.0,120.0,12.0,12.0,19.0,22.0,59.0,29.0,22.0,1.0,3.0,10.0,18.0,18.0,29.0,36.0,46.0,60.0,44.0,88.0,88.0,75.0,1.0,1.0,3.0,17.0,17.0,19.0,31.0,46.0,63.0,52.0,89.0,87.0,86.0,0.0,0.0,1.0,3.0,3.0,13.0,20.0,36.0,60.0,57.0,96.0,88.0,71.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,10.0,87.0,98.0,151.0,0.0,0.0,1.0,6.0,7.0,10.0,3.0,8.0,35.0,59.0,119.0,116.0,121.0
1.721905941887689e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,5.0,6.0,5.0,2.0,5.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,8.0,16.0,9.0,4.0,12.0,1.0,3.0,5.0,15.0,10.0,6.0,4.0,6.0,18.0,34.0,49.0,30.0,113.0,8.0,12.0,19.0,22.0,63.0,31.0,18.0,1.0,2.0,8.0,15.0,17.0,25.0,32.0,43.0,62.0,51.0,92.0,92.0,72.0,0.0,1.0,2.0,14.0,17.0,17.0,27.0,44.0,64.0,54.0,94.0,90.0,90.0,0.0,0.0,1.0,3.0,4.0,10.0,18.0,35.0,57.0,53.0,96.0,99.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,7.0,10.0,93.0,99.0,150.0,0.0,0.0,1.0,4.0,13.0,10.0,2.0,7.0,35.0,67.0,115.0,114.0,116.0
1.721905941935798e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,4.0,5.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,12.0,6.0,3.0,9.0,1.0,2.0,3.0,8.0,7.0,4.0,3.0,5.0,13.0,30.0,43.0,25.0,108.0,6.0,11.0,19.0,22.0,63.0,31.0,18.0,1.0,2.0,7.0,14.0,16.0,23.0,30.0,38.0,62.0,54.0,99.0,97.0,71.0,0.0,1.0,2.0,13.0,16.0,15.0,24.0,39.0,63.0,53.0,98.0,95.0,95.0,0.0,0.0,1.0,2.0,4.0,8.0,15.0,32.0,60.0,52.0,97.0,101.0,76.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,10.0,96.0,98.0,146.0,0.0,0.0,1.0,4.0,15.0,11.0,2.0,8.0,36.0,68.0,117.0,115.0,115.0
1.721905941983753e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,4.0,6.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,10.0,5.0,2.0,8.0,1.0,2.0,3.0,5.0,6.0,3.0,2.0,6.0,12.0,28.0,35.0,24.0,101.0,7.0,10.0,19.0,20.0,65.0,32.0,16.0,1.0,2.0,7.0,10.0,13.0,22.0,28.0,34.0,62.0,49.0,105.0,101.0,74.0,1.0,1.0,2.0,8.0,13.0,12.0,20.0,37.0,56.0,53.0,101.0,99.0,101.0,0.0,0.0,0.0,2.0,3.0,5.0,12.0,28.0,51.0,46.0,95.0,106.0,83.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,7.0,9.0,95.0,98.0,149.0,0.0,0.0,1.0,4.0,21.0,17.0,2.0,10.0,38.0,63.0,113.0,112.0,114.0
1.721905942031773e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,5.0,11.0,4.0,3.0,6.0,0.0,2.0,2.0,2.0,5.0,2.0,1.0,6.0,10.0,26.0,25.0,21.0,90.0,6.0,10.0,19.0,21.0,68.0,33.0,16.0,1.0,2.0,5.0,8.0,13.0,19.0,26.0,31.0,60.0,50.0,107.0,103.0,79.0,0.0,1.0,2.0,5.0,10.0,11.0,19.0,36.0,55.0,52.0,101.0,101.0,105.0,0.0,0.0,1.0,1.0,4.0,5.0,15.0,28.0,42.0,44.0,102.0,109.0,85.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,6.0,8.0,100.0,104.0,154.0,0.0,0.0,1.0,3.0,25.0,23.0,2.0,17.0,40.0,59.0,109.0,108.0,115.0
1.721905942079858e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,4.0,11.0,5.0,2.0,6.0,0.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,9.0,23.0,28.0,20.0,88.0,6.0,9.0,20.0,24.0,72.0,33.0,16.0,1.0,1.0,4.0,7.0,11.0,19.0,27.0,29.0,60.0,49.0,108.0,106.0,80.0,0.0,1.0,2.0,5.0,11.0,12.0,20.0,37.0,59.0,51.0,101.0,100.0,104.0,0.0,0.0,1.0,1.0,4.0,9.0,19.0,35.0,42.0,44.0,104.0,106.0,89.0,0.0,0.0,5.0,1.0,3.0,2.0,1.0,4.0,6.0,7.0,107.0,101.0,163.0,0.0,0.0,1.0,3.0,29.0,27.0,2.0,22.0,43.0,52.0,104.0,105.0,115.0
